Fiscal_Year_Quarter,New_90_Day,Red_of_Income,Unemployed,Excessive_Obligations,Death,Marital_Difficulties,No_Contact,Other
2009Q1,"122,363",31.81,7.47,19.4,7.41,3.32,14.11,16.48
2009Q2,"111,449",34.86,8.66,16.91,6.51,3.14,13.73,16.19
2009Q3,"107,998",37.1,9.32,15.13,6.51,3.29,12.96,15.69
2009Q4,"146,707",37.77,9.37,14.4,6.63,3.22,12.86,15.75
2010Q1,"152,883",38.77,9.36,14.34,7.22,3.49,12.82,14
2010Q2,"124,579",38.67,9.19,14.51,7.37,3.56,13.83,12.87
2010Q3,"104,105",37.81,9.89,15.37,8.3,4.06,14.27,10.3
2010Q4,"131,027",37.98,10.02,15.99,8.95,4.37,12.71,9.98
2011Q1,"133,717",37.7,9.78,16.51,9.41,4.5,12.55,9.56
2011Q2,"117,916",37.26,10.49,16.22,10.07,4.41,11.61,9.94
2011Q3,"99,259",36.46,10.74,16.73,10.65,4.68,10.22,10.53
2011Q4,"133,834",37,10.68,17.72,11.07,4.66,8.87,10
2012Q1,"158,096",36.23,9.97,19.2,11.3,4.39,8.93,9.98
2012Q2,"114,763",36.39,10.75,17.75,11.66,4.62,8.01,10.82
2012Q3,"101,470",35.84,10.88,17.42,12.2,4.8,7.68,11.18
2012Q4,"125,201",35.28,11.07,17.95,12.43,4.45,7.43,11.39
2013Q1,"124,361",33.9,11.12,18.18,12.87,4.45,7.44,12.03
2013Q2,"104,166",33.08,10.91,17.82,13.09,4.15,7.68,13.27
2013Q3,"86,811",31.83,10.09,18.07,12.67,3.94,9.35,14.06
